product_id,jan_code,product_name,brand_name,manufacturer_name,category_large,category_medium,category_small,unit_price,cost_price,unit_volume,unit_measure,launch_date,product_description,is_new_product
P0026,49239475889,トロピカーナ 100%オレンジ 330ml,トロピカーナ,キリン,飲料,果汁飲料,オレンジジュース,160,110,330,ml,2016-10-07,果汁100%オレンジジュース,False
P0027,49300327126,カゴメ 野菜生活100 200ml,野菜生活,カゴメ,飲料,果汁飲料,野菜ジュース,100,67,200,ml,2017-09-01,21種の野菜と3種の果実ミックス,False
P0028,49885046310,充実野菜 緑黄色野菜ミックス 200ml,充実野菜,伊藤園,飲料,果汁飲料,野菜ジュース,100,63,200,ml,2003-06-27,20種の野菜と3種の果実,False
P0029,49503064923,ポカリスエット 500ml,ポカリスエット,大塚製薬,飲料,スポーツ・機能性飲料,スポーツドリンク,160,89,500,ml,2018-02-03,体液に近い成分のスポーツドリンク,False
P0030,49736992133,アクエリアス 500ml,アクエリアス,コカ・コーラ,飲料,スポーツ・機能性飲料,スポーツドリンク,150,107,500,ml,2017-03-05,アミノ酸配合スポーツドリンク,False
P0031,49964748787,モンスターエナジー 355ml,モンスター,アサヒ飲料,飲料,スポーツ・機能性飲料,エナジードリンク,210,149,355,ml,2005-05-17,エナジードリンク,False
P0032,49895077932,レッドブル 250ml,レッドブル,レッドブル,飲料,スポーツ・機能性飲料,エナジードリンク,220,157,250,ml,2017-12-23,翼をさずけるエナジードリンク,False
P0033,49363656107,アサヒスーパードライ 350ml缶,スーパードライ,アサヒビール,飲料,ビール系飲料,ビール,220,135,350,ml,2021-11-12,辛口ビールの代名詞,False
P0034,49674229479,キリン一番搾り 350ml缶,一番搾り,キリンビール,飲料,ビール系飲料,ビール,220,137,350,ml,2007-04-03,一番搾り製法のビール,False
P0035,49543131344,サントリー ザ・プレミアム・モルツ 350ml缶,プレミアムモルツ,サントリー,飲料,ビール系飲料,ビール,260,169,350,ml,2007-10-08,天然水醸造のプレミアムビール,False
P0036,49109422163,サッポロ 黒ラベル 350ml缶,黒ラベル,サッポロビール,飲料,ビール系飲料,ビール,220,147,350,ml,2001-04-03,大人の星のビール,False
P0037,49141176413,キリン のどごし生 350ml缶,のどごし生,キリンビール,飲料,ビール系飲料,新ジャンル,150,84,350,ml,2007-05-22,のどごし爽快な新ジャンル,False
P0038,49736244510,アサヒ ドライゼロ 350ml缶,ドライゼロ,アサヒビール,飲料,ビール系飲料,ノンアルコール,130,83,350,ml,2023-10-19,ビールらしい味わいのノンアルコール,False
P0039,49719534981,氷結 レモン 350ml缶,氷結,キリンビール,飲料,チューハイ・カクテル,チューハイ,170,116,350,ml,2013-04-04,果汁を氷結させた爽快チューハイ,False
P0040,49227048062,ほろよい 白いサワー 350ml缶,ほろよい,サントリー,飲料,チューハイ・カクテル,チューハイ,150,91,350,ml,2013-08-28,アルコール3%のやさしいチューハイ,False
P0041,49171002612,ストロングゼロ ダブルレモン 350ml缶,ストロングゼロ,サントリー,飲料,チューハイ・カクテル,チューハイ,170,95,350,ml,2023-06-26,果実ダブル浸漬の高アルコールチューハイ,False
P0042,49243225073,伊右衛門 京の抹茶入り 600ml,伊右衛門,サントリー,飲料,茶系飲料,緑茶,160,93,600,ml,2026-01-15,宇治抹茶を贅沢に使用した新しい伊右衛門,True
P0043,49340505563,BOSS CRAFT TEA ノンシュガー 500ml,BOSS,サントリー,飲料,茶系飲料,紅茶,170,106,500,ml,2026-02-08,BOSSブランドから新登場のクラフト紅茶,True
P0044,49228331828,ポテトチップス うすしお味 60g,ポテトチップス,カルビー,菓子,スナック菓子,ポテトチップス,150,99,60,g,2017-01-03,じゃがいもの美味しさが際立つうすしお味,False
P0045,49409823724,ポテトチップス コンソメパンチ 60g,ポテトチップス,カルビー,菓子,スナック菓子,ポテトチップス,150,92,60,g,2015-04-28,パンチの効いたコンソメ味,False
P0046,49625651960,ポテトチップス のり塩 60g,ポテトチップス,カルビー,菓子,スナック菓子,ポテトチップス,150,86,60,g,2000-07-09,青のりと塩の絶妙なバランス,False
P0047,49696385673,じゃがりこ サラダ 60g,じゃがりこ,カルビー,菓子,スナック菓子,スティック菓子,160,99,60,g,2023-09-22,食べだしたらキリンがない,False
P0048,49737883536,かっぱえびせん 85g,かっぱえびせん,カルビー,菓子,スナック菓子,えびせん,150,87,85,g,2006-01-19,やめられないとまらないかっぱえびせん,False
P0049,49810661998,カラムーチョ ホットチリ味 55g,カラムーチョ,湖池屋,菓子,スナック菓子,ポテトチップス,150,101,55,g,2001-01-19,辛くてうまい激辛スナック,False
P0050,49724939238,湖池屋ポテトチップス のり塩 60g,湖池屋ポテトチップス,湖池屋,菓子,スナック菓子,ポテトチップス,150,105,60,g,2016-03-02,のり塩ポテトチップスの元祖,False
P0051,49765622312,プリングルズ サワークリーム&オニオン 110g,プリングルズ,日本ケロッグ,菓子,スナック菓子,ポテトチップス,250,173,110,g,2002-10-03,成型ポテトチップス,False
P0052,49985014853,柿の種 6袋詰 200g,柿の種,亀田製菓,菓子,米菓,あられ・おかき,280,173,200,g,2018-04-19,ピーナッツ入りの定番米菓,False
P0053,49879241651,ハッピーターン 108g,ハッピーターン,亀田製菓,菓子,米菓,あられ・おかき,250,163,108,g,2013-11-19,ハッピーパウダーがやみつきの米菓,False
P0054,49840859565,明治ミルクチョコレート 50g,明治チョコレート,明治,菓子,チョコレート,板チョコ,150,90,50,g,2008-04-22,まろやかな味わいのミルクチョコ,False
P0055,49511804910,チョコレート効果 カカオ72% 75g,チョコレート効果,明治,菓子,チョコレート,ハイカカオ,280,166,75,g,2004-11-21,高カカオポリフェノールチョコ,False
P0056,49493218491,ガーナ ミルクチョコレート 50g,ガーナ,ロッテ,菓子,チョコレート,板チョコ,150,90,50,g,2024-02-01,ガーナ産カカオのミルクチョコ,False
P0057,49700682638,きのこの山 74g,きのこの山,明治,菓子,チョコレート,チョコスナック,200,112,74,g,2006-09-09,チョコとクラッカーのきのこ型スナック,False
P0058,49273616718,たけのこの里 70g,たけのこの里,明治,菓子,チョコレート,チョコスナック,200,139,70,g,2007-06-10,チョコとクッキーのたけのこ型スナック,False
P0059,49306768179,ポッキー チョコレート 72g,ポッキー,グリコ,菓子,チョコレート,チョコスナック,180,124,72,g,2022-05-20,スティック型チョコレート菓子,False
P0060,49957179666,トッポ 72g,トッポ,ロッテ,菓子,チョコレート,チョコスナック,180,99,72,g,2017-05-22,最後までチョコたっぷりのプレッツェル,False
P0061,49235773200,アルフォート 89g,アルフォート,ブルボン,菓子,チョコレート,チョコビスケット,200,118,89,g,2003-12-18,全粒粉ビスケット×チョコレート,False
P0062,49303745462,ビスコ 15枚,ビスコ,グリコ,菓子,ビスケット・クッキー,ビスケット,150,89,15,枚,2006-12-11,乳酸菌入りクリームサンドビスケット,False
P0063,49366855325,カントリーマアム バニラ 20枚,カントリーマアム,不二家,菓子,ビスケット・クッキー,クッキー,300,190,20,枚,2008-01-03,しっとり食感のチョコチップクッキー,False
P0064,49931367939,オレオ バニラクリーム 18枚,オレオ,モンデリーズ,菓子,ビスケット・クッキー,ビスケット,250,172,18,枚,2001-01-11,ココアクッキー×バニラクリーム,False
P0065,49271465291,キシリトールガム ライムミント 14粒,キシリトール,ロッテ,菓子,キャンディ・ガム,ガム,150,86,14,粒,2014-09-23,特定保健用食品のキシリトールガム,False
P0066,49660571158,のど飴 100g,のど飴,カンロ,菓子,キャンディ・ガム,キャンディ,250,142,100,g,2022-03-18,29種のハーブ配合ののど飴,False
P0067,49147227049,果汁グミ ぶどう 51g,果汁グミ,明治,菓子,グミ,フルーツグミ,130,84,51,g,2004-07-05,果汁100%のジューシーグミ,False
P0068,49154826050,じゃがりこ 明太チーズもんじゃ味 52g,じゃがりこ,カルビー,菓子,スナック菓子,スティック菓子,170,104,52,g,2026-01-28,期間限定の明太チーズもんじゃ味,True
P0069,49375355088,ポッキー 贅沢仕立て 濃厚宇治抹茶 82g,ポッキー,グリコ,菓子,チョコレート,チョコスナック,250,165,82,g,2026-01-25,宇治抹茶を贅沢に使った大人のポッキー,True
P0070,49913513532,キッコーマン 特選丸大豆しょうゆ 500ml,キッコーマン,キッコーマン,調味料,醤油,濃口醤油,350,247,500,ml,2007-03-26,丸大豆100%使用の本醸造醤油,False
P0071,49332067755,ヤマサ 丸大豆しょうゆ 500ml,ヤマサ,ヤマサ醤油,調味料,醤油,濃口醤油,320,177,500,ml,2023-06-26,丸大豆使用の濃口醤油,False
P0072,49639645065,マルコメ 料亭の味 750g,料亭の味,マルコメ,調味料,味噌,合わせ味噌,380,226,750,g,2022-02-13,だし入り合わせ味噌,False
P0073,49150758711,ハナマルキ おいしいよ 750g,おいしいよ,ハナマルキ,調味料,味噌,合わせ味噌,350,205,750,g,2014-06-10,だし入り合わせ味噌,False
P0074,49398314652,ミツカン 穀物酢 500ml,ミツカン,ミツカン,調味料,酢・ビネガー,穀物酢,200,110,500,ml,2006-07-11,料理の定番穀物酢,False
P0075,49465172137,味ぽん 360ml,味ぽん,ミツカン,調味料,酢・ビネガー,ポン酢,280,200,360,ml,2008-06-21,柑橘果汁入りのぽん酢,False
P0076,49767687548,キューピー マヨネーズ 450g,キューピー,キユーピー,調味料,マヨネーズ・ドレッシング,マヨネーズ,350,232,450,g,2017-06-01,卵黄タイプのマヨネーズ,False
P0077,49251185279,キューピー 深煎りごまドレッシング 380ml,キューピー,キユーピー,調味料,マヨネーズ・ドレッシング,ドレッシング,350,203,380,ml,2008-01-04,深煎りごまの濃厚ドレッシング,False
P0078,49881938119,キューピー シーザーサラダドレッシング 380ml,キューピー,キユーピー,調味料,マヨネーズ・ドレッシング,ドレッシング,350,213,380,ml,2010-07-20,チーズ香るシーザードレッシング,False
P0079,49770332894,ほんだし 60g,ほんだし,味の素,調味料,だし・ブイヨン,和風だし,280,172,60,g,2018-04-09,かつおぶしのだしの素,False
P0080,49158178144,味の素 70g瓶,味の素,味の素,調味料,うま味調味料,うま味調味料,300,165,70,g,2017-11-24,グルタミン酸ナトリウムのうま味調味料,False
P0081,49979004228,Cook Do 回鍋肉用 3-4人前,Cook Do,味の素,調味料,合わせ調味料,中華合わせ調味料,250,152,3-4人前,個,2002-11-11,回鍋肉が簡単に作れる合わせ調味料,False
P0082,49916786143,Cook Do 青椒肉絲用 3-4人前,Cook Do,味の素,調味料,合わせ調味料,中華合わせ調味料,250,165,3-4人前,個,2003-12-10,青椒肉絲が簡単に作れる合わせ調味料,False
P0083,49764696067,Cook Do 麻婆豆腐用 中辛 3-4人前,Cook Do,味の素,調味料,合わせ調味料,中華合わせ調味料,250,165,3-4人前,個,2010-07-23,麻婆豆腐が簡単に作れる合わせ調味料,False
P0084,49487523085,カゴメ トマトケチャップ 500g,カゴメ,カゴメ,調味料,ソース・ケチャップ,ケチャップ,280,163,500,g,2021-07-22,完熟トマト使用のケチャップ,False
P0085,49328105930,ブルドック 中濃ソース 500ml,ブルドック,ブルドックソース,調味料,ソース・ケチャップ,中濃ソース,300,185,500,ml,2000-05-10,万能中濃ソース,False
P0086,49375498043,オタフク お好みソース 500g,オタフク,オタフクソース,調味料,ソース・ケチャップ,お好みソース,350,239,500,g,2019-11-11,お好み焼きに欠かせないソース,False
P0087,49709468238,S&B カレー粉 37g,S&B,エスビー食品,調味料,スパイス・香辛料,カレー粉,300,187,37,g,2006-09-16,30種以上のスパイスをブレンド,False
P0088,49322412389,S&B おろし生わさび 43g,S&B,エスビー食品,調味料,スパイス・香辛料,わさび,180,107,43,g,2021-11-20,本わさび使用のおろしわさび,False
P0089,49539332530,ハウス おろし生しょうが 40g,ハウス,ハウス食品,調味料,スパイス・香辛料,しょうが,160,110,40,g,2024-04-22,すりおろし生しょうが,False
P0090,49506874680,タカラ 本みりん 500ml,タカラ,宝酒造,調味料,料理酒・みりん,みりん,400,274,500,ml,2004-01-02,もち米と米麹から作った本みりん,False
P0091,49420928784,日の出 料理酒 500ml,日の出,キング醸造,調味料,料理酒・みりん,料理酒,250,163,500,ml,2024-02-15,料理にコクを加える料理酒,False
P0092,49643214185,日清 サラダ油 1000g,日清オイリオ,日清オイリオ,調味料,食用油,サラダ油,400,268,1000,g,2012-08-13,汎用サラダ油,False
P0093,49419793417,日清 ヘルシーごま香油 130g,日清オイリオ,日清オイリオ,調味料,食用油,ごま油,350,231,130,g,2000-02-25,香り高いごま油,False
P0094,49657244585,カップヌードル 78g,カップヌードル,日清食品,即席食品,カップ麺,カップラーメン,230,133,78,g,2022-09-15,世界初のカップ麺,False
P0095,49165825082,カップヌードル シーフード 75g,カップヌードル,日清食品,即席食品,カップ麺,カップラーメン,230,162,75,g,2003-08-05,シーフード味のカップヌードル,False
P0096,49709019702,カップヌードル カレー 87g,カップヌードル,日清食品,即席食品,カップ麺,カップラーメン,230,165,87,g,2019-06-25,スパイシーカレー味のカップヌードル,False
P0097,49680089270,どん兵衛 きつねうどん 96g,どん兵衛,日清食品,即席食品,カップ麺,カップうどん,220,136,96,g,2017-08-06,ふっくらおあげのきつねうどん,False
P0098,49722168373,どん兵衛 天ぷらそば 100g,どん兵衛,日清食品,即席食品,カップ麺,カップそば,220,130,100,g,2007-11-09,サクサク天ぷらのおそば,False
P0099,49783278939,赤いきつね うどん 96g,赤いきつね,東洋水産,即席食品,カップ麺,カップうどん,220,144,96,g,2008-08-03,おあげたっぷりのカップうどん,False
P0100,49474504841,緑のたぬき 天そば 101g,緑のたぬき,東洋水産,即席食品,カップ麺,カップそば,220,131,101,g,2010-09-03,天ぷら入りカップそば,False
P0101,49281363471,スーパーカップ1.5倍 豚骨ラーメン 114g,スーパーカップ,エースコック,即席食品,カップ麺,カップラーメン,230,135,114,g,2022-03-23,大盛り豚骨ラーメン,False
P0102,49380432052,チキンラーメン 5食パック,チキンラーメン,日清食品,即席食品,袋麺,インスタントラーメン,500,310,5食,個,2010-09-15,元祖鶏ガラ即席ラーメン,False
P0103,49644962020,サッポロ一番 みそラーメン 5食パック,サッポロ一番,サンヨー食品,即席食品,袋麺,インスタントラーメン,500,292,5食,個,2013-07-25,みそ味の定番袋ラーメン,False
P0104,49865561320,サッポロ一番 塩らーめん 5食パック,サッポロ一番,サンヨー食品,即席食品,袋麺,インスタントラーメン,500,347,5食,個,2024-10-13,塩味の定番袋ラーメン,False
P0105,49725181096,マルちゃん正麺 醤油味 5食パック,マルちゃん正麺,東洋水産,即席食品,袋麺,インスタントラーメン,530,376,5食,個,2009-07-28,生麺うまいまま製法の醤油ラーメン,False
P0106,49649219818,マ・マー 早ゆでスパゲティ 1.6mm 500g,マ・マー,日清フーズ,即席食品,パスタ・麺類,パスタ乾麺,280,189,500,g,2017-10-08,ゆで時間3分の早ゆでスパゲティ,False
P0107,49739934595,マ・マー あえるだけパスタソース たらこ 2人前,マ・マー,日清フーズ,即席食品,パスタソース,パスタソース,200,119,2人前,個,2015-01-13,混ぜるだけのたらこパスタソース,False
P0108,49540577624,マ・マー あえるだけパスタソース ペペロンチーノ 2人前,マ・マー,日清フーズ,即席食品,パスタソース,パスタソース,200,134,2人前,個,2014-03-20,混ぜるだけのペペロンチーノソース,False
P0109,49800081441,青の洞窟 ボロネーゼ 140g,青の洞窟,日清フーズ,即席食品,パスタソース,パスタソース,300,211,140,g,2018-10-22,じっくり煮込んだボロネーゼ,False
P0110,49135522375,バーモントカレー 中辛 230g,バーモントカレー,ハウス食品,即席食品,カレールー,カレールー,280,184,230,g,2004-08-06,りんごとはちみつのカレールー,False
P0111,49165905262,ジャワカレー 辛口 185g,ジャワカレー,ハウス食品,即席食品,カレールー,カレールー,280,172,185,g,2006-08-11,スパイシーなジャワカレー,False
P0112,49542367211,こくまろカレー 中辛 140g,こくまろ,ハウス食品,即席食品,カレールー,カレールー,200,119,140,g,2013-05-27,2つのルウをブレンドしたカレー,False
P0113,49207358705,ゴールデンカレー 中辛 198g,ゴールデンカレー,エスビー食品,即席食品,カレールー,カレールー,280,154,198,g,2017-01-12,35種のスパイスを使用したカレー,False
P0114,49393892124,カップヌードル 味噌 83g,カップヌードル,日清食品,即席食品,カップ麺,カップラーメン,230,157,83,g,2025-12-21,濃厚味噌スープのカップヌードル新フレーバー,True
P0115,49424114266,ボンカレーゴールド 中辛 180g,ボンカレー,大塚食品,缶詰・レトルト,レトルト食品,レトルトカレー,250,173,180,g,2019-03-08,レンジで簡単本格カレー,False
P0116,49265448758,銀座カリー 中辛 180g,銀座カリー,明治,缶詰・レトルト,レトルト食品,レトルトカレー,300,199,180,g,2018-04-15,二段仕込みの上質カレー,False
P0117,49435867043,LEE 辛さ×20倍 180g,LEE,グリコ,缶詰・レトルト,レトルト食品,レトルトカレー,350,202,180,g,2019-12-23,激辛レトルトカレー,False
P0118,49250123683,いなば ライトツナ スーパーノンオイル 70g×3,いなば,いなば食品,缶詰・レトルト,缶詰,ツナ缶,350,249,70×3,g,2003-10-01,ノンオイルのヘルシーツナ缶,False
P0119,49508887149,はごろも シーチキンL 70g×3,シーチキン,はごろもフーズ,缶詰・レトルト,缶詰,ツナ缶,400,246,70×3,g,2022-04-03,まぐろ油漬けのツナ缶,False
P0120,49876074978,マルハニチロ さば水煮 190g,マルハニチロ,マルハニチロ,缶詰・レトルト,缶詰,さば缶,220,124,190,g,2024-05-28,国産さばの水煮缶,False
P0121,49996872983,マルハニチロ さば味噌煮 190g,マルハニチロ,マルハニチロ,缶詰・レトルト,缶詰,さば缶,230,157,190,g,2018-01-12,甘辛味噌味のさば缶,False
P0122,49798278018,いなば とりささみフレーク 70g×3,いなば,いなば食品,缶詰・レトルト,缶詰,鶏肉缶,350,231,70×3,g,2002-09-21,低脂肪のとりささみフレーク,False
P0123,49547251207,クノール カップスープ コーンクリーム 3袋入,クノール,味の素,缶詰・レトルト,スープ,カップスープ,250,173,3袋,個,2015-02-14,つぶコーン入りのコーンスープ,False
P0124,49574728532,クノール カップスープ ポタージュ 3袋入,クノール,味の素,缶詰・レトルト,スープ,カップスープ,250,167,3袋,個,2013-03-24,クリーミーなポタージュスープ,False
P0125,49783865425,マルコメ 料亭の味 しじみ 即席味噌汁 12食,料亭の味,マルコメ,缶詰・レトルト,スープ,即席味噌汁,350,229,12食,個,2017-08-15,しじみエキス入り即席味噌汁,False
P0126,49670915397,サトウのごはん 新潟県産コシヒカリ 200g×3,サトウのごはん,サトウ食品,缶詰・レトルト,パックごはん,パックごはん,350,211,200×3,g,2007-02-09,レンジで2分のパックごはん,False
P0127,49690874995,サトウのごはん 銀シャリ 200g×5,サトウのごはん,サトウ食品,缶詰・レトルト,パックごはん,パックごはん,550,372,200×5,g,2018-10-22,ふっくら銀シャリのパックごはん,False
P0128,49596746511,丸美屋 麻婆豆腐の素 中辛 162g,丸美屋,丸美屋,缶詰・レトルト,レトルト食品,レトルトおかず,220,122,162,g,2010-03-16,ひき肉入り麻婆豆腐の素,False
P0129,49378026813,丸美屋 のりたま 28g,丸美屋,丸美屋,缶詰・レトルト,ふりかけ,ふりかけ,150,102,28,g,2010-05-20,たまごとのりのふりかけ,False
P0130,49462111166,明治おいしい牛乳 900ml,おいしい牛乳,明治,乳製品,牛乳,牛乳,280,178,900,ml,2006-02-08,ナチュラルテイスト製法の牛乳,False
P0131,49632719004,森永のおいしい牛乳 1000ml,森永牛乳,森永乳業,乳製品,牛乳,牛乳,270,173,1000,ml,2007-12-16,おいしさキープ製法の牛乳,False
P0132,49946599041,明治ブルガリアヨーグルト LB81 プレーン 400g,ブルガリア,明治,乳製品,ヨーグルト,プレーンヨーグルト,260,162,400,g,2000-02-10,LB81乳酸菌のプレーンヨーグルト,False
P0133,49390457625,明治R-1ヨーグルト 112g,R-1,明治,乳製品,ヨーグルト,機能性ヨーグルト,150,100,112,g,2009-11-19,1073R-1乳酸菌使用のヨーグルト,False
P0134,49583688753,ビヒダス プレーンヨーグルト 400g,ビヒダス,森永乳業,乳製品,ヨーグルト,プレーンヨーグルト,250,161,400,g,2011-07-24,ビフィズス菌BB536使用のヨーグルト,False
P0135,49821406419,ダノン ビオ プレーン 80g×4,ダノンビオ,ダノンジャパン,乳製品,ヨーグルト,機能性ヨーグルト,280,170,80×4,g,2014-05-10,BE80菌のプレーンヨーグルト,False
P0136,49429514777,雪印 6Pチーズ 108g,6Pチーズ,雪印メグミルク,乳製品,チーズ,プロセスチーズ,350,199,108,g,2006-06-04,食べきりサイズのプロセスチーズ,False
P0137,49802364033,雪印 とろけるスライス 7枚入,とろけるスライス,雪印メグミルク,乳製品,チーズ,スライスチーズ,300,174,7枚,枚,2023-08-09,加熱でとろけるスライスチーズ,False
P0138,49872789595,kiri クリームチーズ 6個入,kiri,ベル ジャポン,乳製品,チーズ,クリームチーズ,380,247,6個,個,2003-04-10,なめらかクリームチーズ,False
P0139,49398166912,QBB ベビーチーズ プレーン 4個入,QBB,六甲バター,乳製品,チーズ,プロセスチーズ,200,116,4個,個,2000-12-18,一口サイズのベビーチーズ,False
P0140,49265915494,雪印 北海道バター 200g,雪印バター,雪印メグミルク,乳製品,バター・マーガリン,バター,450,250,200,g,2001-09-10,北海道産生乳100%のバター,False
P0141,49265519042,明治 コーンソフト 300g,コーンソフト,明治,乳製品,バター・マーガリン,マーガリン,250,141,300,g,2000-10-10,コーン油使用の植物性マーガリン,False
P0142,49715248843,森永 牛乳プリン 85g,牛乳プリン,森永乳業,乳製品,デザート,プリン,120,74,85,g,2005-01-09,国産牛乳使用のなめらかプリン,False
P0143,49726162869,雪印メグミルク コーヒー 500ml,雪印コーヒー,雪印メグミルク,乳製品,乳飲料,コーヒー牛乳,160,110,500,ml,2012-08-03,ロングセラーのコーヒー牛乳,False
P0144,49856311878,明治R-1ヨーグルト ブルーベリーミックス 112g,R-1,明治,乳製品,ヨーグルト,機能性ヨーグルト,160,92,112,g,2025-12-26,R-1乳酸菌×ブルーベリーの新フレーバー,True
P0145,49425302940,本格炒め炒飯 450g,本格炒め炒飯,ニチレイ,冷凍食品,冷凍米飯,冷凍チャーハン,400,257,450,g,2013-10-20,直火炒めの本格炒飯,False
P0146,49910574697,ザ★チャーハン 600g,ザ★チャーハン,味の素冷凍食品,冷凍食品,冷凍米飯,冷凍チャーハン,450,306,600,g,2012-08-15,焦がしにんにくのマー油仕上げ,False
P0147,49489748025,冷凍餃子 12個入,冷凍餃子,味の素冷凍食品,冷凍食品,冷凍おかず,冷凍餃子,350,210,12個,個,2019-01-20,油・水なしで焼ける冷凍餃子,False
P0148,49230064404,大阪王将 羽根つき餃子 12個入,大阪王将,イートアンド,冷凍食品,冷凍おかず,冷凍餃子,350,229,12個,個,2008-11-03,パリッと羽根つき冷凍餃子,False
P0149,49305854929,からあげチキン 300g,からあげチキン,ニチレイ,冷凍食品,冷凍おかず,冷凍唐揚げ,380,220,300,g,2002-03-01,ジューシーなからあげ,False
P0150,49635458381,若鶏たれづけ唐揚げ 300g,若鶏唐揚げ,味の素冷凍食品,冷凍食品,冷凍おかず,冷凍唐揚げ,380,253,300,g,2015-05-02,甘辛たれの唐揚げ,False
P0151,49403405720,日清 冷凍スパ王 ナポリタン 300g,スパ王,日清食品冷凍,冷凍食品,冷凍麺,冷凍パスタ,280,187,300,g,2022-08-03,レンジで簡単ナポリタン,False
