inventory_date,store_id,product_id,stock_quantity,reorder_point,safety_stock,days_of_supply,last_replenishment_date
2026-02-28,S001,P0052,1,2,1,5.0,2026-02-23
2026-02-28,S001,P0053,2,2,1,8.4,2026-02-25
2026-02-28,S001,P0054,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0055,2,2,1,6.4,2026-02-22
2026-02-28,S001,P0056,1,2,1,10.0,2026-02-28
2026-02-28,S001,P0057,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0058,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0059,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0060,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0061,1,2,1,8.0,2026-02-25
2026-02-28,S001,P0062,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0063,0,2,1,0.0,2026-02-19
2026-02-28,S001,P0064,2,2,1,6.5,2026-02-27
2026-02-28,S001,P0065,2,2,1,10.0,2026-02-23
2026-02-28,S001,P0066,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0067,0,2,1,0.0,2026-02-19
2026-02-28,S001,P0068,1,2,1,7.5,2026-02-28
2026-02-28,S001,P0069,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0070,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0071,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0072,1,2,1,5.9,2026-02-26
2026-02-28,S001,P0073,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0074,2,2,1,10.4,2026-02-25
2026-02-28,S001,P0075,1,2,1,4.2,2026-02-25
2026-02-28,S001,P0076,3,2,1,12.4,2026-02-24
2026-02-28,S001,P0077,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0078,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0079,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0080,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0081,1,2,1,4.2,2026-02-27
2026-02-28,S001,P0082,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0083,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0084,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0085,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0086,1,2,1,6.5,2026-02-27
2026-02-28,S001,P0087,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0088,1,2,1,10.0,2026-02-27
2026-02-28,S001,P0089,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0090,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0091,2,2,1,4.4,2026-02-23
2026-02-28,S001,P0092,1,2,1,4.4,2026-02-26
2026-02-28,S001,P0093,1,2,1,3.5,2026-02-20
2026-02-28,S001,P0094,3,3,1,6.0,2026-02-18
2026-02-28,S001,P0095,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0096,2,2,1,7.0,2026-02-23
2026-02-28,S001,P0097,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0098,1,2,1,30.0,2026-02-23
2026-02-28,S001,P0099,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0100,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0101,1,2,1,10.0,2026-02-21
2026-02-28,S001,P0102,2,2,1,5.3,2026-02-20
2026-02-28,S001,P0103,1,2,1,2.9,2026-02-28
2026-02-28,S001,P0104,1,2,1,5.4,2026-02-23
2026-02-28,S001,P0105,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0106,3,2,1,7.5,2026-02-23
2026-02-28,S001,P0107,1,2,1,6.0,2026-02-19
2026-02-28,S001,P0108,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0109,3,2,1,12.9,2026-02-19
2026-02-28,S001,P0110,1,2,1,2.9,2026-02-26
2026-02-28,S001,P0111,2,2,1,10.0,2026-02-20
2026-02-28,S001,P0112,1,2,1,10.0,2026-02-19
2026-02-28,S001,P0113,1,2,1,7.5,2026-02-26
2026-02-28,S001,P0114,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0115,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0116,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0117,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0118,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0119,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0120,1,2,1,7.5,2026-02-19
2026-02-28,S001,P0121,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0122,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0123,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0124,1,2,1,6.1,2026-02-21
2026-02-28,S001,P0125,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0126,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0127,3,2,1,10.0,2026-02-20
2026-02-28,S001,P0128,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0129,3,2,1,8.0,2026-02-28
2026-02-28,S001,P0130,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0131,1,2,1,10.0,2026-02-24
2026-02-28,S001,P0132,0,2,1,0.0,2026-02-19
2026-02-28,S001,P0133,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0134,1,2,1,5.0,2026-02-24
2026-02-28,S001,P0135,0,2,1,0.0,2026-02-24
2026-02-28,S001,P0136,3,2,1,9.5,2026-02-22
2026-02-28,S001,P0137,6,2,1,13.4,2026-02-26
2026-02-28,S001,P0138,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0139,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0140,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0141,5,3,1,10.8,2026-02-24
2026-02-28,S001,P0142,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0143,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0144,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0145,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0146,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0147,2,2,1,5.5,2026-02-27
2026-02-28,S001,P0148,2,2,1,4.1,2026-02-24
2026-02-28,S001,P0149,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0150,1,2,1,30.0,2026-02-27
2026-02-28,S001,P0151,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0152,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0153,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0154,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0155,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0156,1,2,1,3.5,2026-02-25
2026-02-28,S001,P0157,4,2,1,10.8,2026-02-25
2026-02-28,S001,P0158,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0159,3,2,1,11.1,2026-02-18
2026-02-28,S001,P0160,1,2,1,6.0,2026-02-28
2026-02-28,S001,P0161,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0162,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0163,1,2,1,4.1,2026-02-28
2026-02-28,S001,P0164,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0165,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0166,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0167,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0168,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0169,5,2,1,12.7,2026-02-26
2026-02-28,S001,P0170,1,2,1,8.1,2026-02-22
2026-02-28,S001,P0171,2,2,1,8.0,2026-02-22
2026-02-28,S001,P0172,0,2,1,0.0,2026-02-21
2026-02-28,S001,P0173,6,2,1,13.3,2026-02-25
2026-02-28,S001,P0174,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0175,0,2,1,0.0,2026-02-27
2026-02-28,S001,P0176,0,2,1,0.0,2026-02-26
2026-02-28,S001,P0177,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0178,0,2,1,0.0,2026-02-22
2026-02-28,S001,P0179,4,2,1,9.2,2026-02-19
2026-02-28,S001,P0180,0,2,1,0.0,2026-02-23
2026-02-28,S001,P0181,1,2,1,7.9,2026-02-27
2026-02-28,S001,P0182,1,2,1,10.0,2026-02-25
2026-02-28,S001,P0183,2,2,1,4.3,2026-02-22
2026-02-28,S001,P0184,2,2,1,7.0,2026-02-20
2026-02-28,S001,P0185,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0186,0,2,1,0.0,2026-02-25
2026-02-28,S001,P0187,3,2,1,11.2,2026-02-19
2026-02-28,S001,P0188,0,2,1,0.0,2026-02-18
2026-02-28,S001,P0189,2,2,1,4.6,2026-02-21
2026-02-28,S001,P0190,1,2,1,30.0,2026-02-22
2026-02-28,S001,P0191,0,2,1,0.0,2026-02-20
2026-02-28,S001,P0192,3,2,1,12.6,2026-02-25
2026-02-28,S002,P0001,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0002,2,2,1,5.2,2026-02-23
2026-02-28,S002,P0003,2,2,1,5.9,2026-02-18
2026-02-28,S002,P0004,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0005,0,2,1,0.0,2026-02-26
2026-02-28,S002,P0006,2,2,1,4.5,2026-02-26
2026-02-28,S002,P0007,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0008,2,2,1,5.7,2026-02-25
2026-02-28,S002,P0009,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0010,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0011,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0012,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0013,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0014,2,2,1,6.7,2026-02-20
2026-02-28,S002,P0015,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0016,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0017,1,2,1,7.5,2026-02-20
2026-02-28,S002,P0018,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0019,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0020,0,2,1,0.0,2026-02-26
2026-02-28,S002,P0021,4,3,1,8.2,2026-02-27
2026-02-28,S002,P0022,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0023,1,2,1,2.1,2026-02-24
2026-02-28,S002,P0024,3,3,1,6.2,2026-02-28
2026-02-28,S002,P0025,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0026,3,2,1,6.2,2026-02-22
2026-02-28,S002,P0027,1,2,1,7.5,2026-02-26
2026-02-28,S002,P0028,1,2,1,9.0,2026-02-18
2026-02-28,S002,P0029,4,2,1,8.4,2026-02-23
2026-02-28,S002,P0030,2,2,1,4.6,2026-02-26
2026-02-28,S002,P0031,1,2,1,7.5,2026-02-25
2026-02-28,S002,P0032,2,2,1,7.3,2026-02-24
2026-02-28,S002,P0033,1,2,1,7.5,2026-02-19
2026-02-28,S002,P0034,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0035,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0036,1,2,1,10.0,2026-02-25
2026-02-28,S002,P0037,5,2,1,10.9,2026-02-20
2026-02-28,S002,P0038,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0039,1,2,1,4.3,2026-02-24
2026-02-28,S002,P0040,3,2,1,8.5,2026-02-20
2026-02-28,S002,P0041,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0042,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0043,5,2,1,10.5,2026-02-21
2026-02-28,S002,P0044,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0045,2,2,1,4.8,2026-02-22
2026-02-28,S002,P0046,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0047,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0048,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0049,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0050,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0051,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0052,2,2,1,6.7,2026-02-25
2026-02-28,S002,P0053,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0054,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0055,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0056,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0057,1,2,1,10.0,2026-02-20
2026-02-28,S002,P0058,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0059,4,2,1,9.5,2026-02-18
2026-02-28,S002,P0060,1,2,1,5.0,2026-02-23
2026-02-28,S002,P0061,1,2,1,10.0,2026-02-27
2026-02-28,S002,P0062,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0063,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0064,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0065,3,3,1,6.6,2026-02-25
2026-02-28,S002,P0066,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0067,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0068,3,2,1,10.0,2026-02-22
2026-02-28,S002,P0069,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0070,1,2,1,10.0,2026-02-26
2026-02-28,S002,P0071,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0072,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0073,4,2,1,11.0,2026-02-18
2026-02-28,S002,P0074,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0075,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0076,2,2,1,8.2,2026-02-19
2026-02-28,S002,P0077,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0078,1,2,1,5.7,2026-02-22
2026-02-28,S002,P0079,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0080,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0081,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0082,1,2,1,6.5,2026-02-19
2026-02-28,S002,P0083,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0084,1,2,1,10.0,2026-02-23
2026-02-28,S002,P0085,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0086,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0087,1,2,1,5.5,2026-02-24
2026-02-28,S002,P0088,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0089,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0090,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0091,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0092,1,2,1,2.5,2026-02-21
2026-02-28,S002,P0093,2,2,1,7.0,2026-02-21
2026-02-28,S002,P0094,2,2,1,4.9,2026-02-26
2026-02-28,S002,P0095,1,2,1,4.9,2026-02-24
2026-02-28,S002,P0096,1,2,1,2.1,2026-02-27
2026-02-28,S002,P0097,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0098,1,2,1,4.2,2026-02-27
2026-02-28,S002,P0099,2,2,1,4.3,2026-02-19
2026-02-28,S002,P0100,1,2,1,7.5,2026-02-18
2026-02-28,S002,P0101,2,2,1,12.4,2026-02-22
2026-02-28,S002,P0102,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0103,1,2,1,10.0,2026-02-22
2026-02-28,S002,P0104,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0105,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0106,5,2,1,12.5,2026-02-27
2026-02-28,S002,P0107,1,2,1,5.0,2026-02-25
2026-02-28,S002,P0108,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0109,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0110,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0111,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0112,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0113,1,2,1,10.0,2026-02-24
2026-02-28,S002,P0114,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0115,4,2,1,12.0,2026-02-18
2026-02-28,S002,P0116,3,2,1,9.0,2026-02-21
2026-02-28,S002,P0117,4,2,1,9.0,2026-02-19
2026-02-28,S002,P0118,5,2,1,10.8,2026-02-27
2026-02-28,S002,P0119,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0120,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0121,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0122,2,2,1,5.5,2026-02-28
2026-02-28,S002,P0123,2,2,1,12.5,2026-02-22
2026-02-28,S002,P0124,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0125,0,2,1,0.0,2026-02-26
2026-02-28,S002,P0126,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0127,1,2,1,7.5,2026-02-27
2026-02-28,S002,P0128,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0129,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0130,1,2,1,5.0,2026-02-28
2026-02-28,S002,P0131,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0132,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0133,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0134,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0135,2,2,1,5.4,2026-02-23
2026-02-28,S002,P0136,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0137,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0138,1,2,1,10.0,2026-02-20
2026-02-28,S002,P0139,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0140,1,2,1,30.0,2026-02-18
2026-02-28,S002,P0141,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0142,4,2,1,8.3,2026-02-27
2026-02-28,S002,P0143,0,2,1,0.0,2026-02-21
2026-02-28,S002,P0144,2,2,1,7.7,2026-02-24
2026-02-28,S002,P0145,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0146,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0147,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0148,1,2,1,7.5,2026-02-20
2026-02-28,S002,P0149,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0150,3,2,1,6.4,2026-02-23
2026-02-28,S002,P0151,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0152,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0153,1,2,1,30.0,2026-02-28
2026-02-28,S002,P0154,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0155,2,2,1,12.0,2026-02-23
2026-02-28,S002,P0156,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0157,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0158,2,2,1,12.0,2026-02-27
2026-02-28,S002,P0159,0,2,1,0.0,2026-02-19
2026-02-28,S002,P0160,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0161,1,2,1,7.5,2026-02-27
2026-02-28,S002,P0162,1,2,1,10.0,2026-02-28
2026-02-28,S002,P0163,2,2,1,4.3,2026-02-27
2026-02-28,S002,P0164,1,2,1,2.3,2026-02-27
2026-02-28,S002,P0165,3,2,1,7.6,2026-02-27
2026-02-28,S002,P0166,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0167,2,3,1,4.1,2026-02-22
2026-02-28,S002,P0168,0,2,1,0.0,2026-02-26
2026-02-28,S002,P0169,2,2,1,8.9,2026-02-26
2026-02-28,S002,P0170,0,2,1,0.0,2026-02-26
2026-02-28,S002,P0171,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0172,3,3,1,6.1,2026-02-24
2026-02-28,S002,P0173,1,2,1,3.9,2026-02-20
2026-02-28,S002,P0174,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0175,0,2,1,0.0,2026-02-22
2026-02-28,S002,P0176,1,2,1,10.0,2026-02-20
2026-02-28,S002,P0177,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0178,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0179,0,2,1,0.0,2026-02-25
2026-02-28,S002,P0180,1,2,1,15.0,2026-02-22
2026-02-28,S002,P0181,4,2,1,8.9,2026-02-26
2026-02-28,S002,P0182,0,2,1,0.0,2026-02-27
2026-02-28,S002,P0183,1,2,1,10.0,2026-02-19
2026-02-28,S002,P0184,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0185,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0186,0,2,1,0.0,2026-02-20
2026-02-28,S002,P0187,4,2,1,10.5,2026-02-24
2026-02-28,S002,P0188,0,2,1,0.0,2026-02-28
2026-02-28,S002,P0189,0,2,1,0.0,2026-02-24
2026-02-28,S002,P0190,0,2,1,0.0,2026-02-18
2026-02-28,S002,P0191,0,2,1,0.0,2026-02-23
2026-02-28,S002,P0192,1,2,1,2.1,2026-02-18
2026-02-28,S003,P0001,0,2,1,0.0,2026-02-19
2026-02-28,S003,P0002,0,2,1,0.0,2026-02-27
2026-02-28,S003,P0003,4,2,1,9.1,2026-02-21
2026-02-28,S003,P0004,0,2,1,0.0,2026-02-20
2026-02-28,S003,P0005,0,2,1,0.0,2026-02-24
2026-02-28,S003,P0006,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0007,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0008,1,2,1,7.9,2026-02-20
2026-02-28,S003,P0009,3,2,1,6.2,2026-02-28
2026-02-28,S003,P0010,0,2,1,0.0,2026-02-25
2026-02-28,S003,P0011,0,2,1,0.0,2026-02-26
2026-02-28,S003,P0012,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0013,1,2,1,7.1,2026-02-28
2026-02-28,S003,P0014,1,2,1,2.1,2026-02-19
2026-02-28,S003,P0015,1,2,1,7.3,2026-02-26
2026-02-28,S003,P0016,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0017,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0018,1,2,1,2.5,2026-02-19
2026-02-28,S003,P0019,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0020,1,2,1,2.3,2026-02-19
2026-02-28,S003,P0021,2,2,1,7.3,2026-02-18
2026-02-28,S003,P0022,2,2,1,7.6,2026-02-22
2026-02-28,S003,P0023,3,2,1,11.7,2026-02-27
2026-02-28,S003,P0024,0,2,1,0.0,2026-02-18
2026-02-28,S003,P0025,3,2,1,7.3,2026-02-23
2026-02-28,S003,P0026,2,2,1,10.6,2026-02-22
2026-02-28,S003,P0027,0,2,1,0.0,2026-02-24
2026-02-28,S003,P0028,3,2,1,10.6,2026-02-19
2026-02-28,S003,P0029,1,2,1,10.0,2026-02-19
2026-02-28,S003,P0030,2,2,1,10.3,2026-02-18
2026-02-28,S003,P0031,1,2,1,3.6,2026-02-21
2026-02-28,S003,P0032,1,2,1,30.0,2026-02-20
2026-02-28,S003,P0033,0,2,1,0.0,2026-02-24
2026-02-28,S003,P0034,0,2,1,0.0,2026-02-20
2026-02-28,S003,P0035,1,2,1,7.9,2026-02-22
2026-02-28,S003,P0036,1,2,1,2.7,2026-02-24
2026-02-28,S003,P0037,1,2,1,7.5,2026-02-27
2026-02-28,S003,P0038,5,2,1,10.3,2026-02-24
2026-02-28,S003,P0039,0,2,1,0.0,2026-02-24
2026-02-28,S003,P0040,0,2,1,0.0,2026-02-22
2026-02-28,S003,P0041,1,2,1,10.0,2026-02-21
2026-02-28,S003,P0042,4,2,1,12.5,2026-02-18
2026-02-28,S003,P0043,1,3,1,2.1,2026-02-24
2026-02-28,S003,P0044,0,2,1,0.0,2026-02-20
2026-02-28,S003,P0045,0,2,1,0.0,2026-02-27
2026-02-28,S003,P0046,0,2,1,0.0,2026-02-21
2026-02-28,S003,P0047,0,2,1,0.0,2026-02-27
2026-02-28,S003,P0048,0,2,1,0.0,2026-02-27
2026-02-28,S003,P0049,0,2,1,0.0,2026-02-18
2026-02-28,S003,P0050,1,2,1,4.2,2026-02-22
2026-02-28,S003,P0051,0,2,1,0.0,2026-02-19
2026-02-28,S003,P0052,2,2,1,12.0,2026-02-24
2026-02-28,S003,P0053,0,2,1,0.0,2026-02-23
2026-02-28,S003,P0054,0,2,1,0.0,2026-02-27
2026-02-28,S003,P0055,1,2,1,4.1,2026-02-19
2026-02-28,S003,P0056,0,2,1,0.0,2026-02-18
2026-02-28,S003,P0057,0,2,1,0.0,2026-02-18
2026-02-28,S003,P0058,1,2,1,3.6,2026-02-21
2026-02-28,S003,P0059,0,2,1,0.0,2026-02-19
2026-02-28,S003,P0060,3,2,1,11.3,2026-02-25
2026-02-28,S003,P0061,2,2,1,7.5,2026-02-23
2026-02-28,S003,P0062,3,2,1,7.5,2026-02-22
2026-02-28,S003,P0063,1,2,1,8.6,2026-02-18
2026-02-28,S003,P0064,1,2,1,30.0,2026-02-26
